"date","price","open","Max","Min","volume","change"
"19.03.2021","4.312,00","4.299,80","4.342,20","4.201,00","283,65K","0,74%"
"18.03.2021","4.280,20","4.493,80","4.559,40","4.252,80","449,12K","-4,76%"
"17.03.2021","4.494,00","4.553,00","4.595,40","4.380,40","447,20K","-0,43%"
"16.03.2021","4.513,60","4.339,00","4.625,00","4.275,20","809,96K","4,54%"
"15.03.2021","4.317,40","4.415,00","4.444,80","4.251,00","569,06K","0,18%"
"12.03.2021","4.309,80","3.920,00","4.342,20","3.860,00","845,97K","10,28%"
"11.03.2021","3.908,20","3.780,00","3.945,00","3.615,80","565,41K","4,07%"
"10.03.2021","3.755,40","3.773,80","3.879,20","3.710,20","426,09K","0,20%"
"09.03.2021","3.747,80","3.760,00","3.857,80","3.676,40","460,27K","-1,50%"
"05.03.2021","3.805,00","3.741,20","3.911,80","3.682,80","443,58K","2,56%"
"04.03.2021","3.710,00","3.821,00","3.846,20","3.636,00","527,19K","-2,90%"
"03.03.2021","3.820,80","3.830,00","3.876,00","3.801,20","452,72K","-0,19%"
"02.03.2021","3.828,00","3.888,00","3.949,00","3.800,20","424,86K","-1,54%"
"01.03.2021","3.888,00","3.900,00","3.930,00","3.800,00","341,81K","0,80%"
"26.02.2021","3.857,00","3.860,00","4.030,00","3.742,40","6,95M","-1,10%"
"25.02.2021","3.899,80","3.824,80","3.970,20","3.766,00","1,23M","1,96%"
"24.02.2021","3.825,00","4.095,00","4.095,00","3.722,20","1,69M","-8,75%"
"22.02.2021","4.192,00","4.274,00","4.433,20","4.063,80","1,60M","-1,34%"
"20.02.2021","4.249,00","4.106,60","4.256,80","4.060,00","236,18K","4,66%"
"19.02.2021","4.060,00","3.850,00","4.094,80","3.776,00","1,05M","5,70%"
"18.02.2021","3.841,00","3.875,20","3.995,00","3.794,00","1,04M","-1,51%"
"17.02.2021","3.900,00","3.784,00","3.973,00","3.740,00","1,07M","3,77%"
"16.02.2021","3.758,40","3.599,80","3.776,00","3.543,20","603,44K","4,46%"
"15.02.2021","3.598,00","3.618,00","3.674,80","3.495,00","638,08K","1,10%"
"12.02.2021","3.559,00","3.492,80","3.560,00","3.458,80","453,71K","0,80%"
